作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0030	0027	完了	群馬県	桐生市	民家と駐車場	376-0007	群馬県桐生市浜松町1-5-5		36.403723	139.3399	"https://www.google.co.jp/maps/@36.4037731,139.3399006,3a,40y,195.62h,83.83t/data=!3m6!1e1!3m4!1siSvexaQ9lLRINh0gyJIxeg!2e0!7i13312!8i6656?hl=ja"	17.0		120			惡の華	アクノハナ	第3話で春日高男が佐伯奈々子の体操着の処分場所を探すシーンで、ドアにクリーニングと記された民家？（作中では文字は消されていました。）とその脇の駐車場が描かれていました。<br />体操着処分シーン⑨<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0028	完了	群馬県	桐生市	カーブミラー	376-0007	群馬県桐生市浜松町1-5-34		36.403308	139.339237	"https://www.google.co.jp/maps/@36.4033091,139.3391893,3a,80y,122.66h,91.24t/data=!3m6!1e1!3m4!1sS8bjBXc6qA_vrnQWqz7KVw!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第1話の下校シーンで登場した星野モータース前のカーブミラー。このカーブミラーのアップ越しに南東側の道が描かれており、このカーブミラーのあるT字路で春日高男が友人たちと別れていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0029	完了	群馬県	桐生市	住宅街（浜松町1-5）	376-0006	群馬県桐生市浜松町1-5-38		36.403701	139.339071	"https://www.google.co.jp/maps/@36.4037145,139.3390779,3a,36.2y,248.27h,91.52t/data=!3m6!1e1!3m4!1stBzPsZcJ4s1yRcPZ0ONWaQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.7		惡の華	アクノハナ	第3話で、春日高男がまだ薄暗い早朝から家を出て、盗んでしまった佐伯奈々子の体操着の処分場所を探して走っていた場所。<br />体操着処分シーン①<br />座標位置の細道から南西側の一般道と民家を望む構図で描かれていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0030	完了	群馬県	桐生市	住宅街（浜松町1-6）	376-0007	群馬県桐生市浜松町1-6		36.403772	139.338894	"https://www.google.co.jp/maps/@36.4037203,139.3389314,3a,26y,329.61h,98.03t/data=!3m6!1e1!3m4!1sScknPLUDC79WRoh9R5vJuw!2e0!7i13312!8i6656?hl=ja"	17.0		120	4		惡の華	アクノハナ	第1話冒頭、第8話の通学シーンで春日高男が歩いていた場所。座標地点から北側を向いた構図で、小池商店や向いの住宅などが描かれていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0031	完了	群馬県	桐生市	路地	376-0007	群馬県桐生市浜松町1-7-37		36.405093	139.33681	"https://www.google.co.jp/maps/@36.405449,139.337127,3a,75y,202h,92.52t/data=!3m4!1e1!3m2!1s-Ggh7xOiwdrfj5_ahwz31A!2e0?hl=ja"	17.0		120	3		惡の華	アクノハナ	第1話の下校シーンで友人たちと別れ本屋へ向かう春日高男が歩いていた場所。次のシーンで出てくる北にある一般道から望む構図で、道民家の隙間にある人一人通れる程度の細道から出て手前に歩いて来るシーンが描かれていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0032	完了	群馬県	桐生市	橘屋本店 前 1	376-0007	群馬県桐生市浜松町1-8		36.405892	139.336365	"https://www.google.co.jp/maps/@36.405892,139.336368,3a,75y,169.32h,85.72t/data=!3m4!1e1!3m2!1sufIuAwI8wHZwn5JhyHFn-Q!2e0?hl=ja"	17.0		120	2		惡の華	アクノハナ	第1話の下校シーンで友人たちと別れ本屋へ向かう春日高男が歩いていた場所。橘屋本店と隣の閉店済の店舗が描かれていました。高男が歩いていたのは、作画上電信柱に隠れて描かれていませんが、うどん屋のやぶよしの前辺りから橘屋辺りになります。<br />第9話で、教室を荒らした事件が親バレして家を飛び出した高男が、行く場所もなく街を走り回るシーンでも、同じ構図のカットが使われていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0033	完了	群馬県	桐生市	橘屋本店 前 2	376-0007	群馬県桐生市浜松町1-8		36.405858	139.336415	"https://www.google.co.jp/maps/@36.4058732,139.3364497,3a,48.5y,270.69h,77t/data=!3m6!1e1!3m4!1sergoBDZCXHtcSPgglEVTZg!2e0!7i13312!8i6656?hl=ja"	17.0		120			惡の華	アクノハナ	第3話で、春日高男が佐伯奈々子の体操着の処分場所を探すシーンで、目の前を走り過ぎる春日をお爺さんが振り返っていた場所。<br />体操着処分シーン⑩				キリュウシ	ア	10	15	2		
0030	0034	完了	群馬県	桐生市	路地裏	376-0007	群馬県桐生市浜松町1-11-13		36.403455	139.338953	-	17.0		0			惡の華	アクノハナ	第1話冒頭、第8話の通学シーンで登場した無数の植木が立ち並ぶ路地裏。<br />第3話で春日高男が佐伯奈々子の体操着の処分場所を探すシーンでも登場。<br />体操着処分シーン③<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0035	完了	群馬県	桐生市	高畠の看板	376-0007	群馬県桐生市浜松町1-11-15		36.403366	139.339114	"https://www.google.co.jp/maps/@36.4035544,139.3390364,3a,15y,156.73h,97.34t/data=!3m6!1e1!3m4!1sY09VyKEKGCZwQGOVob1FPQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	5		惡の華	アクノハナ	第1話の帰宅シーンで登場する高畠の看板と街灯。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0036	完了	群馬県	桐生市	廃屋	376-0007	群馬県桐生市浜松町1-11-15		36.403325	139.339095	"https://www.google.co.jp/maps/@36.4032686,139.3392147,3a,15y,316.57h,87.08t/data=!3m6!1e1!3m4!1s8OPd71TayEpWpa46hOVfNA!2e0!7i13312!8i6656?hl=ja"	17.0		120	5		惡の華	アクノハナ	第1話の学校帰りシーン（2回目）で、山田正和と春日高男が女の子とつき合えるかどうかの口論をしているところへ、唐突に「オレ、つき合うなら佐伯さんがいいなぁ」と言う小島建を、高男と山田が呆然と振り向いていた背後に描かれていた廃屋。				キリュウシ	ア	10	15	2		
0030	108	完了	群馬県	桐生市	住宅街（浜松町1-12）	376-0007	群馬県桐生市浜松町1-12		36.403008	139.339383	"https://www.google.co.jp/maps/@36.4029613,139.3394183,3a,28y,321.3h,91.89t/data=!3m6!1e1!3m4!1sCGeiLqQkAq9JKl61J-T2sQ!2e0!7i13312!8i6656?hl=ja"						惡の華	アクノハナ	第3話で春日高男が佐伯奈々子の体操着の処分場所を探して走っていた場所。<br />体操着処分シーン②				キリュウシ	ア	10	15	2		
0030	0037	完了	群馬県	桐生市	小林三司商店	376-0007	群馬県桐生市浜松町1-12-1		36.403183	139.339119	"https://www.google.co.jp/maps/@36.4033091,139.3391893,3a,34.9y,181.84h,82.35t/data=!3m6!1e1!3m4!1sS8bjBXc6qA_vrnQWqz7KVw!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.6		惡の華	アクノハナ	第1話冒頭、第8話、第12話の通学シーンで、店側面に貼られたたばこ、「塩」、「ミニカ」と書かれたホーロー看板などが描かれていました。<br />第3話で春日高男が佐伯奈々子の体操着の処分場所を探すシーンでは、店舗外観全体が描かれていました。<br />体操着処分シーン⑪<br />第9話で、教室を荒らした事件が親バレして家を飛び出した高男が、行く場所もなく街を走り回るシーンでも、同じホーロー看板が描かれていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0039	完了	群馬県	桐生市	階段	376-0007	群馬県桐生市浜松町2-7		36.399245	139.34248	"https://www.google.co.jp/maps/@36.3992402,139.3423569,3a,25y,99.76h,101.37t/data=!3m6!1e1!3m4!1sloZfBGKW6Loh-Kgm8Fkotg!2e0!7i13312!8i6656?hl=ja"	17.0		120	4.5		惡の華	アクノハナ	第1話冒頭、第8話、第12話の通学シーンやオープニングで登場する錆ついた階段。<br />第7話で春日高男が深夜の学校に向かうシーンでも、同じ構図のカットが使われていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0040	完了	群馬県	桐生市	ホーロー看板	376-0007	群馬県桐生市浜松町2-7		36.399772	139.341914	"https://www.google.co.jp/maps/@36.3997898,139.3418176,3a,15y,100.98h,85.35t/data=!3m6!1e1!3m4!1szULjn_0y1slLsreO07M9vA!2e0!7i13312!8i6656?hl=ja"	17.0		120	5		惡の華	アクノハナ	第1話冒頭、第8話、第12話の通学シーン、第11話の学校帰りシーンで描かれていたホーロー看板。中藤商店の隣の空き地の塀に張られたものになります。<br />第3話の春日高男が体操着の処分場所を探すシーンでも登場。<br />体操着処分シーン⑤				キリュウシ	ア	10	15	2		
0030	0041	完了	群馬県	桐生市	中藤商店 脇	376-0007	群馬県桐生市浜松町2-7-32		36.399815	139.341949	"https://www.google.co.jp/maps/@36.3996986,139.3419069,3a,33.8y,20.35h,92.34t/data=!3m6!1e1!3m4!1sKbWFRyvG7bCTQv4DC8ifzA!2e0!7i13312!8i6656"	17.0		120			惡の華	アクノハナ	第3話で佐伯奈々子の体操着の処分場所を探して走る春日高男が入って来たものの、ボールで遊ぶ女の子や大人がいたので、慌てて逃げ出した場所。<br />体操着処分シーン④<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0042	完了	群馬県	桐生市	土田産業脇の道	376-0007	群馬県桐生市浜松町2-11		36.40034	139.341246	"https://www.google.co.jp/maps/@36.4003378,139.3412864,3a,27y,129.37h,95.53t/data=!3m6!1e1!3m4!1s8j8A_rhSK8hBVKS1QaZzwg!2e0!7i13312!8i6656?hl=ja"	17.0		120	4.5		惡の華	アクノハナ	第1話冒頭の主人公の通学シーンと下校シーンで登場した場所。<br />座標地点から南東方向を向いた構図で、うどん八州の駐車場、浜松町二丁目交差点などが描かれていました。<br />第9話で、教室が荒らされた事件を受けて教師の監視の元で生徒たちが下校するシーンでも同じ構図で描かれていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0038	完了	群馬県	桐生市	住宅街の曲がりくねった道	376-0007	群馬県桐生市浜松町2-8		36.400884	139.341305	"https://www.google.co.jp/maps/@36.400804,139.3413893,3a,25y,316.6h,81.57t/data=!3m6!1e1!3m4!1st7RoDmVOXYqWF7C0uT1biA!2e0!7i13312!8i6656?hl=ja"						惡の華	アクノハナ	第3話で、佐伯奈々子の体操着の処分場所を探して走る春日高男が犬に吠えられていた場所。<br />体操着処分シーン⑥				キリュウシ	ア	10	15	2		
0030	0043	完了	群馬県	桐生市	住宅街の曲道（祠付近）	376-0007	群馬県桐生市浜松町2-9		36.401734	139.340562	-	17.0		0			惡の華	アクノハナ	第8話で、深夜の学校で教室をめちゃくちゃにした帰りの春日高男と仲村佐和が歩いていた住宅街の細道で、小さな祠が描かれていました。<br />深夜の学校帰り⑤				キリュウシ	ア	10	15	2		
0030	0044	完了	群馬県	桐生市	住宅街の細道	376-0007	群馬県桐生市浜松町2-10		36.402069	139.340376	-	17.0		120			惡の華	アクノハナ	第8話で、深夜の学校で教室をめちゃくちゃにした帰りの春日高男と仲村佐和が歩いていた場所。<br />深夜の学校帰り④				キリュウシ	ア	10	15	2		
0030	0045	完了	群馬県	桐生市	大沢自動車商会 前	376-0007	群馬県桐生市浜松町2-10		36.402205	139.340892	"https://www.google.co.jp/maps/@36.4022887,139.3408448,3a,15.9y,159.4h,86.36t/data=!3m6!1e1!3m4!1sRnN723CtngohEnU_4FKlGg!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第8話で、深夜の学校で教室をめちゃくちゃにした帰りの春日高男と仲村佐和が話をしていた場所。<br />深夜の学校帰り⑦				キリュウシ	ア	10	15	2		
0030	0046	完了	群馬県	桐生市	カーブミラー	376-0007	群馬県桐生市浜松町2-10-9		36.402259	139.340793	"https://www.google.co.jp/maps/@36.4022764,139.3408226,3a,15y,213.2h,100.47t/data=!3m6!1e1!3m4!1sCb3KgR7o71-_jxvWBZf3FA!2e0!7i13312!8i6656?hl=ja"	17.0	○	120	5		惡の華	アクノハナ	第8話で、深夜の学校で教室をめちゃくちゃにした帰りの春日高男と仲村佐和が話をしていたシーンで描かれていたカーブミラー。<br />深夜の学校帰り⑥				キリュウシ	ア	10	15	2		
