作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0030	0057	完了	群馬県	桐生市	渡良瀬川堤防路 2	376-0003	群馬県桐生市琴平町		36.395143	139.337469	"https://www.google.co.jp/maps/@36.3952298,139.3373436,3a,15y,147.86h,90.27t/data=!3m6!1e1!3m4!1suSYoCY3BmL7ubAObXyo-cQ!2e0!7i13312!8i6656?hl=ja"	17.0		0	5		惡の華	アクノハナ	第2話で佐伯奈々子の体操着を盗んでしまった春日高男が、その罪悪感からどこか遠くへ行きたいと自転車を走らせていた堤防路。自転車を走らせ南東に向かう高男を後ろから見た構図で、座標地点にある車止めポール越しに堤防が描かれていました。				キリュウシ	ア	10	15	2		
0030	0059	完了	群馬県	桐生市	渡良瀬川堤防路 3	376-0003	群馬県桐生市琴平町		36.394364	139.338516	-	17		120			惡の華	アクノハナ	第2話で罪悪感から逃れるように大声で叫びながら自転車を走らせていた春日高男が、道に座る仲村佐和に気づいて自転車を停め、反転して逃げようとするが、佐和から佐伯奈々子の体操着を盗んでいたのを目撃したことを告げられ、脅迫されていた場所。<br />自転車を停めるカットでは南東側、高男が逃走するカットでは北西側を望む構図で描かれていました。				キリュウシ	ア	10	15	2		
0030	0060	完了	群馬県	桐生市	渡良瀬川堤防路 4	376-0003	群馬県桐生市琴平町		36.394731	139.337984	"https://www.google.co.jp/maps/@36.3949298,139.3376589,3a,15y,133.91h,87.35t/data=!3m6!1e1!3m4!1sdGZVyGy9LptY1HNzV0auAw!2e0!7i13312!8i6656?hl=ja"	17.0		0			惡の華	アクノハナ	第11話ラストの夢シーンで、赤い炎に包まれる街中を、春日高男が裸足で歩いていた場所。				キリュウシ	ア	10	15	2		
0030	0058	完了	群馬県	桐生市	渡良瀬川堤防路（サイクリングコース案内板）	376-0003	群馬県桐生市琴平町		36.394614	139.338148	"https://www.google.co.jp/maps/@36.3946294,139.3384034,3a,28y,246.55h,95.38t/data=!3m6!1e1!3m4!1sx2SQdT4VJTBrVyK6VzTGZQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	4		惡の華	アクノハナ	第2話で佐伯奈々子の体操着を盗んでしまった春日高男が、その罪悪感からどこか遠くへ行きたいと大声で叫びながら自転車を走らせる姿に犬の散歩中の男が怪訝そうに振り向いていた場所。<br />第13話のラストで、家を飛び出した仲村佐和を追いかけて来た高男が、佐和に飛びついて転がりながら組み伏せていたのも、この場所でした。<br />階段と、「起点より1.0km」のサイクリングコースの案内表示板がある場所になります。<br />座標地点から北西側を望む構図で描かれていました。				キリュウシ	ア	10	15	2		
0030	0061	完了	群馬県	桐生市	小梅琴平公園　河川監視カメラ	376-0003	群馬県桐生市琴平町		36.395044	139.337653	"https://www.google.co.jp/maps/@36.3948865,139.3378484,3a,25y,304.28h,103.41t/data=!3m6!1e1!3m4!1sEQRzv8FG4VMiYgrYvopnaA!2e0!7i13312!8i6656?hl=ja"	17.0		0			惡の華	アクノハナ	第13話で、家から飛び出した仲村佐和を春日高男が追いかけるシーンで描かれていた河川付近の施設。<br />※撤去済				キリュウシ	ア	10	15	2	撤去	
0030	0063	完了	群馬県	桐生市	関崎鍍金 脇	376-0003	群馬県桐生市小梅町3		36.394899	139.338091	"https://www.google.co.jp/maps/@36.3945893,139.3384596,3a,29.2y,321.81h,87.26t/data=!3m6!1e1!3m4!1sCWC115q7sd2wVSHvTayrhQ!2e0!7i13312!8i6656?hl=ja"	17.0		0			惡の華	アクノハナ	第2話で仲村佐和から佐伯奈々子の体操着を盗んでいたのを目撃したことを告げられ、仰天した春日高男が遁走して姿を消した道。				キリュウシ	ア	10	15	2		
0030	0064	完了	群馬県	桐生市	桐生市民プール	376-0011	群馬県桐生市相生町3-300		36.419003	139.300095	-	15.0		0		0277-53-8830	惡の華	アクノハナ	第11話で、春日高男たちが水泳の授業をしていたプールのモデル。	http://www.city.kiryu.gunma.jp/web/home.nsf/0/f56b50bd6cfb5c6b49256f940004a5af?OpenDocument			キリュウシ	ア	10	15	2		
0030	0065	完了	群馬県	桐生市	商店街	376-0023	群馬県桐生市錦町1-3		36.405497	139.33523	"https://www.google.co.jp/maps/@36.4054707,139.335311,3a,68y,281.84h,98.04t/data=!3m6!1e1!3m4!1sdjSvixkBhnEotaNq6_ogZw!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.5		惡の華	アクノハナ	第4話で仲村佐和によって夜中に家から連れ出された春日高男が、手を引かれて歩いていた場所。<br />アサヒ堂、PAL COM、田園ミュージックメソッド音楽スタジオの3軒が描かれていました。				キリュウシ	ア	10	15	2		
0030	0066	完了	群馬県	桐生市	SONYの看板	376-0023	群馬県桐生市錦町1-3-10		36.405473	139.335165	"https://www.google.co.jp/maps/@36.4053711,139.3352736,3a,20.2y,317.91h,114.47t/data=!3m6!1e1!3m4!1sbHJLUT20VZJYyL2kL_5Eyw!2e0!7i13312!8i6656?hl=ja"	17.0	○	120	4.5		惡の華	アクノハナ	第2話で佐伯奈々子の体操着を盗んでしまった春日高男が、その罪悪感からどこか遠くへ行きたいと自転車を走らせるシーンの冒頭カットで描かれていたビル看板。<br />第5話の高男と奈々子のデートシーンの冒頭カットでも、第9話の教室を荒らした事件が親バレして家を飛び出した高男が、行く場所もなく街を走り回るシーンでも、同じ構図のカットが使われていました。<br />※現在は撤去済。				キリュウシ	ア	10	15	2	解体	
0030	0067	完了	群馬県	桐生市	川田商店 前	376-0023	群馬県桐生市錦町1-5		36.405268	139.335077	"https://www.google.co.jp/maps/@36.4052639,139.3351897,3a,21.5y,273.03h,88.11t/data=!3m6!1e1!3m4!1sw57UZXkYu6ier327JoIMkw!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.5		惡の華	アクノハナ	第4話で仲村佐和が、佐伯奈々子とのデートの日に佐伯の体操着を持ってくることを春日高男に命令していた場所。拒否した春日は仲村に引っ叩かれて倒れ、脅迫に抗えずに蹲ってすすり泣いていました。春日を残して去る仲村のシーンは、同じ場所から南西方向を望む構図でした。				キリュウシ	ア	10	15	2		
0030	0068	完了	群馬県	桐生市	サンアイ	376-0023	群馬県桐生市錦町1-6		36.405288	139.335372	"https://www.google.co.jp/maps/@36.4053711,139.3352736,3a,15y,156.09h,92.75t/data=!3m6!1e1!3m4!1sbHJLUT20VZJYyL2kL_5Eyw!2e0!7i13312!8i6656?hl=ja"	17.0	○	120	5	0277-44-9020	惡の華	アクノハナ	第1話の春日高男が家へ帰るシーンの挿入カットを始め、作中度々登場する看板が描かれていた店。<br />第2話で佐伯奈々子の体操着を盗んでしまった春日高男が、その罪悪感からどこか遠くへ行きたいと自転車を走らせるシーンの冒頭カット、第4話で仲村佐和に春日高男が家から連れだされて来たシーン、第5話の高男と奈々子のデートシーンの冒頭カットでも、第9話の教室を荒らした事件が親バレして家を飛び出した高男が、行く場所もなく街を走り回るシーンでも、同じカットが使われていました。<br />※商店街の屋根も含め、看板も撤去済。				キリュウシ	ア	10	15	2		
0030	0069	完了	群馬県	桐生市	錦町十字路交差点 	376-0023	群馬県桐生市錦町1-6		36.404437	139.334529	"https://www.google.co.jp/maps/@36.404628,139.334677,3a,75y,207.92h,92.04t/data=!3m4!1e1!3m2!1sHi_EdI9gZDBDXGJAYf5Azw!2e0?hl=ja"	17.0		120	3		惡の華	アクノハナ	第11話冒頭で、春日高男、仲村佐和、佐伯奈々子の3人が乗せられたパトカーが走っていた交差点で、北東側から南西側を望んだ構図で描かれていました。				キリュウシ	ア	10	15	2		
0030	0070	完了	群馬県	桐生市	リビングショップ大橋 前	376-0023	群馬県桐生市錦町1-8		36.405163	139.333687	"https://www.google.co.jp/maps/@36.4048537,139.3340704,3a,15y,323.56h,92.36t/data=!3m6!1e1!3m4!1sQZUIQ0BFz66SANoFsiGe9g!2e0!7i13312!8i6656?hl=ja"	17.0		120	5		惡の華	アクノハナ	第12話で、自宅から生徒の住所名簿を持ち出して仲村佐和の家へ向かう春日高男が走っていた場所で、座標地点から北西側を望んだ構図で描かれていました。				キリュウシ	ア	10	15	2		
0030	0071	完了	群馬県	桐生市	上の湯 前	376-0023	群馬県桐生市錦町1-8-11		36.405059	139.334377	"https://www.google.co.jp/maps/@36.4048537,139.3340704,3a,15y,49.34h,90.05t/data=!3m6!1e1!3m4!1sQZUIQ0BFz66SANoFsiGe9g!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第12話で、公園で座り込んでいた仲村佐和が、家へ向かってとぼとぼと歩いていた場所で、上の湯や高野商店の看板が描かれていました。				キリュウシ	ア	10	15	2		
0030	0073	完了	群馬県	桐生市	後藤建設 前	376-0023	群馬県桐生市錦町1-8-13		36.404832	139.334068	"https://www.google.co.jp/maps/@36.4048052,139.3341239,3a,15y,329.18h,99t/data=!3m6!1e1!3m4!1sZbIArd9ivCuE6e5HjEyAMA!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第12話で、自宅から生徒の住所名簿を持ち出して仲村佐和の家へ向かう春日高男が見かけた、自分が抜けても全く意に介さず相変わらず楽しそうに歩いている山田正和や小島建たちを見かけて足を止めていた場所。				キリュウシ	ア	10	15	2		
0030	0074	完了	群馬県	桐生市	タキスポーツ 前	376-0023	群馬県桐生市錦町1-9-21		36.404778	139.333945	"https://www.google.co.jp/maps/@36.4048533,139.3340667,3a,60y,246.61h,105.41t/data=!3m6!1e1!3m4!1sLPHzspLjWvH5CT9tuGxmjg!2e0!7i13312!8i6656?hl=ja"	17.0	○	120	1.8		惡の華	アクノハナ	第12話で、仲村佐和の家へ向かう春日高男が、途中で見かけた山田正和や小島建たちを見送っていた場所で、思い出したかのように再び走り出す姿が描かれていました。タキスポーツと虎谷 桐生店の建物が描かれていました。<br />※タキスポーツは閉店解体済。				キリュウシ	ア	10	15	2	解体	
0030	0075	完了	群馬県	桐生市	駐車場 前	376-0023	群馬県桐生市錦町2-4-36		36.404873	139.334089	"https://www.google.co.jp/maps/@36.4048277,139.3340954,3a,36.1y,191.99h,88.09t/data=!3m6!1e1!3m4!1s2Cq3okZ3DCFVg2fK-BF-0w!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.5		惡の華	アクノハナ	第12話で、自宅から生徒の住所名簿を持ち出して仲村佐和の家へ向かう春日高男が見かけた、自分が抜けても全く意に介さず相変わらず楽しそうに歩いている山田正和や小島建たちが歩いていた場所。				キリュウシ	ア	10	15	2		
0030	0076	完了	群馬県	桐生市	錦桜橋の下	376-0023	群馬県桐生市錦町3		36.40018	139.329482	-	17.0		0			惡の華	アクノハナ	第9話で、教室を荒らした事件が親バレして家を飛び出した春日高男が、行く場所もなく街を走り回った挙げ句に辿り着いた川で、高男を待っていた仲村佐和と一緒に話をしていた場所。				キリュウシ	ア	10	15	2		
0030	0094	完了	群馬県	桐生市	錦桜橋の北東袂付近	376-0023	群馬県桐生市錦町3-10		36.400569	139.329692	-						惡の華	アクノハナ	第9話で、春日高男の母親が自転車に乗って高男の名を大声で呼びながら、教室を荒らした事件の犯人であることがバレて家を飛び出した高男を探していた場所。背後に桐生典礼会館の看板が描かれていました。				キリュウシ	ア	10	15	2		
0030	0077	完了	群馬県	桐生市	おりひめばし	376-0023	群馬県桐生市錦町3-6		36.402762	139.330485	"https://www.google.co.jp/maps/@36.4025744,139.3306184,3a,19.5y,332.94h,87.7t/data=!3m6!1e1!3m4!1shO1nR4Ty5jQumCbzq4onhw!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第6話で一緒に学校から帰る春日高男と佐伯奈々子が立ち話をしていた橋で、佐伯が仲村佐和と友達になったことを春日に話していました。				キリュウシ	ア	10	15	2		
0030	0078	完了	群馬県	桐生市	雄文堂書店	376-0031	群馬県桐生市本町3-5-5		36.414576	139.341322	"https://www.google.co.jp/maps/@36.4146609,139.3415156,3a,20y,232.85h,93.39t/data=!3m6!1e1!3m4!1sI1KJPCZuqhJY_4W0zeAUaA!2e0!7i13312!8i6656?hl=ja"	17.0		120	3	0277-22-3951	惡の華	アクノハナ	第1話で春日高男が立ち読みしていた古本屋「猫町堂」のモデル。看板の店名こそ変えられていますが、基本的に実写トレース作画なので、他部分は実風景と完全に一致します。第5話では春日と佐伯奈々子がデートで訪れ、春日が佐伯に「惡の華」を買ってプレゼントしていました。	http://murasakishikibu.co.jp/yubundo/			キリュウシ	ア	10	15	2		
0030	0079	完了	群馬県	桐生市	建物脇	376-0031	群馬県桐生市本町3-5		36.414503	139.341286	"https://www.google.co.jp/maps/@36.4144796,139.3413969,3a,31.3y,289.65h,87.26t/data=!3m6!1e1!3m4!1spVgR6guZr6Jmc6GC6uzZ4Q!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第5話で仲村佐和が、佐伯奈々子とデート中の春日高男を呼び出し、佐伯とキスするよう命令していた場所。				キリュウシ	ア	10	15	2		
0030	0080	完了	群馬県	桐生市	奈良書店	376-0031	群馬県桐生市本町4-334		36.411077	139.343918	"https://www.google.co.jp/maps/@36.4110813,139.343818,3a,37.7y,99.21h,91.9t/data=!3m6!1e1!3m4!1s01Wwz3AylXXu8QIkDeXtnw!2e0!7i13312!8i6656?hl=ja"	17.0		120	3	0277-22-7967	惡の華	アクノハナ	第1話で春日高男が立ち読みしていた古本屋。<br />基本的に実写トレース作画なので、他部分は実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0081	完了	群馬県	桐生市	本町五丁目交差点	376-0031	群馬県桐生市本町5		36.409687	139.338853	"https://www.google.co.jp/maps/@36.4102535,139.3386232,3a,31.1y,55.02h,94.03t/data=!3m6!1e1!3m4!1swu65FxVuEl134XwYBJo79w!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第5話の春日高男と佐伯奈々子のデートで2人が渡っていた交差点。交差点の南側にある三陽住建前から、道の反対側にある花屋の花清パートIIIの入っているビルが描かれていました。				キリュウシ	ア	10	15	2		
0030	0082	完了	群馬県	桐生市	本町五丁目交差点	376-0031	群馬県桐生市本町5		36.41035	139.338499	"https://www.google.co.jp/maps/@36.4104896,139.3384009,3a,20.2y,129.48h,95.48t/data=!3m6!1e1!3m4!1sl0J1gIuEiRYE3fPrhOK19Q!2e0!7i13312!8i6656?hl=ja"	17.0		120	4.5		惡の華	アクノハナ	第13話ラストのイメージカットの一つで、たくさんの提灯が飾られたお祭り仕様の交差点（喫茶ガス灯前のガス灯越しに三陽住建の建物）が描かれていました。				キリュウシ	ア	10	15	2		
0030	0083	完了	群馬県	桐生市	本町五丁目交差点の県道標識	376-0031	群馬県桐生市本町5		36.410311	139.338717	"https://www.google.co.jp/maps/@36.4103769,139.3386315,3a,15y,126.73h,93.93t/data=!3m6!1e1!3m4!1sfC0EToTRLdyEm2--WjZHqQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	5		惡の華	アクノハナ	第5話の春日高男と佐伯奈々子のデートシーンでの挿入カットで描かれていた標識。				キリュウシ	ア	10	15	2		
0030	0084	完了	群馬県	桐生市	シロキヤ書店 駐車場	376-0031	群馬県桐生市本町5-40		36.409767	139.3384	"https://www.google.co.jp/maps/@36.4097641,139.3381926,3a,33.2y,83.5h,88.15t/data=!3m6!1e1!3m4!1sYXHbSzB4lfrXSbOmdLLFMg!2e0!7i13312!8i6656?hl=ja"	17.0		120			惡の華	アクノハナ	第5話の春日高男と佐伯奈々子のデートで、本屋に寄るために2人が入っていった駐車場。この書店は県道68号線側の駐車場の奥に建物入口があるので、本屋の大きな看板こそあるものの、作中では、2人は駐車場に入って出て来た感じになっちゃっています。				キリュウシ	ア	10	15	2		
0030	0085	完了	群馬県	桐生市	花清パートIII	376-0031	群馬県桐生市本町5-49		36.410417	139.338947	"https://www.google.co.jp/maps/@36.4102535,139.3386232,3a,37.7y,54.11h,100.7t/data=!3m6!1e1!3m4!1swu65FxVuEl134XwYBJo79w!2e0!7i13312!8i6656"	17.0		120		0277-43-2208	惡の華	アクノハナ	第5話の春日高男と佐伯奈々子のデートシーンで、店頭、ビル全景、屋上看板などが描かれていた花屋。	http://www.kiryu.jp/joytown/shop/flower/hanakiyo/			キリュウシ	ア	10	15	2		
0030	0086	完了	群馬県	桐生市	ローズ	376-0031	群馬県桐生市本町5-54		36.410777	139.339103	"https://www.google.co.jp/maps/@36.410897,139.3389895,3a,15y,152.58h,93.66t/data=!3m6!1e1!3m4!1sxwK7IWsOTAWs-oYIMUThsg!2e0!7i13312!8i6656?hl=ja"	17.0		120	5	0277-44-5047	惡の華	アクノハナ	第5話の春日高男と佐伯奈々子のデートシーンでの挿入カットで看板が描かれていた手芸店。			要調整	キリュウシ	ア	10	15	2		
0030	0087	完了	群馬県	桐生市	桐生信用金庫 本町支店中央出張所	376-0031	群馬県桐生市本町5-352		36.411207	139.339041	"https://www.google.co.jp/maps/@36.4109613,139.3390371,3a,15y,9.78h,101.97t/data=!3m6!1e1!3m4!1swk5TnxIHThjbYww6yfNUfQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	5	0120-032-056	惡の華	アクノハナ	第5話の春日高男と佐伯奈々子のデートシーンでの挿入カットで看板が描かれていた信用金庫。<br />※建物解体済。	http://www.shinkin.co.jp/kiryu/pages/info_map/hontyou_shutyoujo.htm			キリュウシ	ア	10	15	2	解体	
0030	0088	完了	群馬県	桐生市	桐生住宅ローンセンター前の時計	376-0031	群馬県桐生市本町5-354		36.4109	139.338939	"https://www.google.co.jp/maps/@36.4108442,139.3389515,3a,45.2y,335.29h,91.41t/data=!3m6!1e1!3m4!1sFTbM6ndlvaMUaHE-0MZt4g!2e0!7i13312!8i6656?hl=ja"	17.0	○	120			惡の華	アクノハナ	第5話の春日高男と佐伯奈々子のデートシーンでの挿入カットで描かれていた時計の付いたオブジェ。2人を尾行する仲村佐和が身を隠していたのもこの時計の後ろでした。<br />残念ながらこのオブジェは撤去済みです。				キリュウシ	ア	10	15	2	撤去	
0030	0089	完了	群馬県	桐生市	Ｖｉｌｌａｇｅの横の店	376-0031	群馬県桐生市本町5-358		36.410792	139.338781	"https://www.google.co.jp/maps/@36.410815,139.3389283,3a,38.1y,257.13h,81.89t/data=!3m6!1e1!3m4!1sfggg9PnVGtYVHEcYDXK_mg!2e0!7i13312!8i6656?hl=ja"	17.0		120		0277-43-2770	惡の華	アクノハナ	第5話の春日高男と佐伯奈々子のデートで、佐伯がウインドウに飾られた商品を見ていた店。	http://www.geocities.jp/village_jazz_and_blues/			キリュウシ	ア	10	15	2		
0030	0090	完了	群馬県	桐生市	クラフツ・サロンＡｉｋｏ	376-0031	群馬県桐生市本町5-363-8		36.410514	139.338518	"https://www.google.co.jp/maps/@36.4105111,139.3384356,3a,26y,89.56h,82.06t/data=!3m6!1e1!3m4!1sVaoxozInjr-5sQs02madsg!2e0!7i13312!8i6656?hl=ja"	17.0		120	4.5	0277-46-0158	惡の華	アクノハナ	第5話の春日高男と佐伯奈々子のデートシーンで2人が歩いていた場所。				キリュウシ	ア	10	15	2		
0030	0091	完了	群馬県	桐生市	喫茶ガス灯	376-0031	群馬県桐生市本町5-365-1	桐生ガスプラザ内	36.410302	139.338322	"https://www.google.co.jp/maps/@36.4104548,139.3385033,3a,29.1y,198.46h,91.59t/data=!3m6!1e1!3m4!1sbY_WHfrfUyVMvOkiKWSWcg!2e0!7i13312!8i6656?hl=ja"	17.0		120	4	0277-20-8141	惡の華	アクノハナ	第5話の春日高男と佐伯奈々子のデートで2人がお茶した喫茶店。直前のカットに出てくる街灯もこの喫茶店の店前にあるものです。最後のカットに出てくる街灯は店内にある模型です。			要調整	キリュウシ	ア	10	15	2		
0030	0092	完了	群馬県	桐生市	県道68号線	376-0031	群馬県桐生市本町6		36.409545	139.338001	"https://www.google.co.jp/maps/@36.4097641,139.3381926,3a,15y,207.09h,89.54t/data=!3m6!1e1!3m4!1sYXHbSzB4lfrXSbOmdLLFMg!2e0!7i13312!8i6656?hl=ja"	17.0		120	5		惡の華	アクノハナ	第5話冒頭で春日高男と佐伯奈々子のデートしていた街のカットで登場。座標位置にあるポスト越しに南西向きの構図で、両毛線の高架線路、その向こうの商店街が描かれており、2人は本町薬局前あたりからポストのある方向に歩き、高架前辺りで道を横断していました。				キリュウシ	ア	10	15	2		
0030	0093	完了	群馬県	桐生市	文化堂 前	376-0031	群馬県桐生市本町6-35		36.409404	139.338092	"https://www.google.co.jp/maps/@36.4095522,139.3380923,3a,30y,157.97h,87.91t/data=!3m6!1e1!3m4!1svSUUVwYb2gXq7nUiExvdNA!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.5		惡の華	アクノハナ	第5話の春日高男と佐伯奈々子のデートで2人が歩いていた場所。<br />2人は、文化堂を中心に隣接する店を背景に南西方面から北東側へ歩いていきました。				キリュウシ	ア	10	15	2		
0030	0095	完了	群馬県	桐生市	両毛線沿道	376-0035	群馬県桐生市仲町3-5		36.406892	139.341284	"https://www.google.co.jp/maps/@36.406907,139.34127,3a,75y,312.45h,91.79t/data=!3m4!1e1!3m2!1s8ViiY5PdpKSKHTZsr2hVHA!2e0?hl=ja"	17.0		120	3		惡の華	アクノハナ	第9話で、春日高男の家に行ったものの、高男に会えずに帰る佐伯奈々子がとぼとぼと歩いていた場所。				キリュウシ	ア	10	15	2		
0030	0096	完了	群馬県	桐生市	見来居通り	376-0035	群馬県桐生市仲町3-8		36.408767	139.338892	"https://www.google.co.jp/maps/@36.4088401,139.3389313,3a,21.3y,194.21h,86.84t/data=!3m6!1e1!3m4!1s91hX1SFP_LdzEfOm6g6hTg!2e0!7i13312!8i6656?hl=ja"	17.0		120	4.5		惡の華	アクノハナ	第9話で、春日高男の家に行ったものの高男に会えずに帰る佐伯奈々子が、自転車に乗って春日高男を探す高男の母親が、通行人に高男を見ていないか聞いているのを目撃していた場所。				キリュウシ	ア	10	15	2		
0030	0098	完了	群馬県	桐生市	末広町交差点	376-0045	群馬県桐生市末広町		36.411295	139.33604	"https://www.google.co.jp/maps/@36.4112336,139.3360572,3a,15y,309.77h,98.6t/data=!3m6!1e1!3m4!1s6tdbnu9thiA53zVZmc3cWQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	5		惡の華	アクノハナ	第2話で佐伯奈々子の体操着を盗んでしまった春日高男の懺悔のモノローグシーンで描かれていた交差点。交差点から北西側を望んだ構図で描かれており、末広町の標識のある信号機、シロバラ、富永築炉、シルバーホテルなどの看板が確認できます。<br />第4話で、春日高男が仲村佐和によって夜中に家から連れ出されたシーンや、第5話の高男と奈々子のデートシーンの冒頭でも同構図のカットが使われていました。				キリュウシ	ア	10	15	2		
0030	0099	完了	群馬県	桐生市	パブM 脇	376-0045	群馬県桐生市末広町8-8		36.410128	139.337183	"https://www.google.co.jp/maps/@36.4101507,139.3371382,3a,45.1y,87.47h,79.67t/data=!3m6!1e1!3m4!1s5UPe_m9qzjz1d-fcXHQY8w!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.5		惡の華	アクノハナ	第3話で、春日高男が佐伯奈々子の体操着を捨てようとして、掃除のおばさんに気づいて断念する場所。パブMの店舗を左手に鳥モネ本町店の駐車場を望む構図で描かれていました。<br />体操着処分シーン⑦<br />実写トレース作画なので、実風景と完全に一致します。<br />※建物は解体済みで現存していません。				キリュウシ	ア	10	15	2	解体	
0030	0100	完了	群馬県	桐生市	県道66号線（長山金物前）	376-0601	群馬県桐生市梅田町1-34-4		36.432757	139.354507	"<iframe src=""https://www.google.com/maps/embed?pb=!4v1573140610870!6m8!1m7!1s3SwV0DLhgc38LREkaxHOyQ!2m2!1d36.43275342669371!2d139.3545106847069!3f207.24!4f-3.4200000000000017!5f2.2021578239782444"" width=""300"" height=""200"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"	17.0		120	3	0277-32-0792	惡の華	アクノハナ	第10話で、春日高男と仲村佐和が自転車で山の向こう側へ向かうシーンで、2人乗りで北へ向かって走っていた道。<br />高男と仲村の逃避行①				キリュウシ	ア	10	15	2		
0030	0101	完了	群馬県	桐生市	県道66号線	376-0601	群馬県桐生市梅田町1		36.433042	139.354684	"https://www.google.co.jp/maps/@36.4329296,139.3546045,3a,28.9y,33.58h,88.82t/data=!3m6!1e1!3m4!1saz2sYxZZEHfe4-MrMfcFyg!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第10話で、春日高男と仲村佐和が自転車で山の向こう側へ向かうシーンで、2人乗りで北へ向かって走っていた道で、2人を追いかけて来た佐伯奈々子が、トラックが跳ね上げた水をかぶっていました。<br />高男と仲村の逃避行②				キリュウシ	ア	10	15	2		
0030	0102	完了	群馬県	桐生市	県道66号線（コジマストア前）	376-0601	群馬県桐生市梅田町1-399		36.43881	139.360985	"https://www.google.co.jp/maps/@36.4387552,139.3607968,3a,19y,79.89h,87.29t/data=!3m6!1e1!3m4!1svw2HCt4rlghjkz8FfS4Adw!2e0!7i13312!8i6656?hl=ja"	16.0		120	3	0277-32-2338	惡の華	アクノハナ	第10話で、春日高男と仲村佐和が自転車で山の向こう側へ向かうシーンで、移動販売車のおじさんが自転車に乗る2人を見ていた場所で、2人を追いかけて来た佐伯奈々子が、2人の行方をおじさんに聞いていました。<br />高男と仲村の逃避行③				キリュウシ	ア	10	15	2		
0030	0103	完了	群馬県	桐生市	県道66号線（北向観音入口）	376-0601	群馬県桐生市梅田町4		36.467616	139.396095	"https://www.google.co.jp/maps/@36.4674071,139.3959355,3a,45y,15.95h,92.55t/data=!3m6!1e1!3m4!1sUqTLeDJZ-b81TFxDY3TtMQ!2e0!7i13312!8i6656?hl=ja"	16.0		120	3		惡の華	アクノハナ	第10話で、春日高男と仲村佐和が自転車で山の向こう側へ向かうシーンで、2人が山道へ入っていった場所。<br />高男と仲村の逃避行④				キリュウシ	ア	10	15	2		
0030	0104	完了	群馬県	桐生市	県道337号線脇	376-0601	群馬県桐生市梅田町5		36.508103	139.411705	"https://www.google.co.jp/maps/@36.5079787,139.4113873,3a,15.4y,61.29h,91.58t/data=!3m6!1e1!3m4!1s-781AMosOtJ78A9P3flOjw!2e0!7i13312!8i6656?hl=ja"	16.0		120	3		惡の華	アクノハナ	第10話で、春日高男と仲村佐和が自転車で山の向こう側へ向かうシーンで、突然の雨に2人が雨宿りをしていた場所。<br />高男と仲村の逃避行⑤				キリュウシ	ア	10	15	2		
0030	0105	完了	群馬県	桐生市	県道337号線	376-0601	群馬県桐生市梅田町5		36.508047	139.411721	"https://www.google.co.jp/maps/@36.5080996,139.4116589,3a,48.8y,248.88h,88.68t/data=!3m6!1e1!3m4!1sdclrNgPnnJtHttzDkAbVLA!2e0!7i13312!8i6656?hl=ja"	16.0		120	3		惡の華	アクノハナ	第10話で、春日高男と仲村佐和が自転車で山の向こう側へ向かうシーンで、2人が突然の雨に降られていた場所。				キリュウシ	ア	10	15	2		
0030	0106	完了	群馬県	桐生市	蛇留渕橋	376-0601	群馬県桐生市梅田町5		36.504432	139.412226	"https://www.google.co.jp/maps/@36.5046608,139.4121199,3a,30y,162.9h,87.85t/data=!3m6!1e1!3m4!1spjuQRmxZsk7zlwps1U9Sfg!2e0!7i13312!8i6656?hl=ja"	16.0		120	3		惡の華	アクノハナ	第10話で、春日高男と仲村佐和を自転車で追いかけて山道を上る佐伯奈々子が渡っていた橋。				キリュウシ	ア	10	15	2		
