作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0426	0007	完了	神奈川県	鎌倉市	若宮大路	248-0005	神奈川県鎌倉市雪ノ下1		35.321712	139.553745	"https://www.google.com/maps/@35.3196445,139.5524579,3a,15y,27.53h,92.16t/data=!3m6!1e1!3m4!1sL8izkI2fed6vanONqzTpBw!2e0!7i16384!8i8192"				5		侵略！イカ娘	シンリャクイカムスメ	第10話Bパート「好かれなイカ？」で、イカ娘断ち中の長月早苗が何もかもがイカ娘に見えてしまう禁断症状で、灯籠がイカ娘に見えていた参道。				カマクラシ	シ	14	11	2		
0426	0004	完了	神奈川県	鎌倉市	江ノ島電鉄 由比ヶ浜駅	248-0014	神奈川県鎌倉市由比ガ浜3-10-13		35.312778	139.541472	"https://www.google.co.jp/maps/@35.3127093,139.5411823,3a,25.2y,51.3h,102.08t/data=!3m6!1e1!3m4!1s3cCE1vIs9bQk-DBpkbEexQ!2e0!7i16384!8i8192"	14.0			4		侵略！イカ娘	シンリャクイカムスメ	オープニングで「由比ヶ浜駅」の文字が「侵略」の文字に変えられていた駅。	http://ja.wikipedia.org/wiki/%E7%94%B1%E6%AF%94%E3%83%B6%E6%B5%9C%E9%A7%85	http://ja.wikipedia.org/wiki/%E7%94%B1%E6%AF%94%E3%83%B6%E6%B5%9C%E9%A7%85		カマクラシ	シ	14	11	2		
0426	0001	完了	神奈川県	鎌倉市	由比ヶ浜海水浴場	248-0014	神奈川県鎌倉市由比ガ浜4		35.309622	139.541701	-						侵略！イカ娘	シンリャクイカムスメ	相沢家が経営する海の家「れもん」が建つ、作品のメイン舞台となっている海水浴場。				カマクラシ	シ	14	11	2		
0426	0002	完了	神奈川県	鎌倉市	由比ガ浜4丁目交差点（深夜花火禁止の看板）	248-0014	神奈川県鎌倉市由比ガ浜4		35.310223	139.539031	"https://www.google.co.jp/maps/@35.3103075,139.5390456,3a,15y,193.93h,83.65t/data=!3m6!1e1!3m4!1se1CvkLqjHfUqP5i9vMuErQ!2e0!7i13312!8i6656"				5		侵略！イカ娘	シンリャクイカムスメ	オープニングで「侵略」の看板が設置されていた場所。<br />実際には深夜花火禁止の看板です。撤去済。				カマクラシ	シ	14	11	2	撤去	
0426	0008	完了	神奈川県	鎌倉市	文学館入口交差点	248-0016	神奈川県鎌倉市長谷1-11		35.313313	139.538641	"https://www.google.com/maps/@35.3133104,139.5386681,3a,40y,320.93h,91.15t/data=!3m6!1e1!3m4!1sJ2M5wvz_70N2gAp-m_zCrQ!2e0!7i13312!8i6656"						侵略！イカ娘	シンリャクイカムスメ	第10話Bパート「好かれなイカ？」で、イカ娘断ち中の長月早苗が何もかもがイカ娘に見えてしまう禁断症状で、女の子をイカ娘と見間違えていた交差点。<br />作中では小花寿司の看板の文字が「大花寿司」になっていました。				カマクラシ	シ	14	11	2		
0426	0003	完了	神奈川県	鎌倉市	由比ヶ浜海水浴場（デイジーズカフェ正面付近）	248-0016	神奈川県鎌倉市長谷2		35.309922	139.538220	-						侵略！イカ娘	シンリャクイカムスメ	オープニングで「侵略」の立て看板が建てられていた砂浜。				カマクラシ	シ	14	11	2		
0426	0009	完了	神奈川県	鎌倉市	鎌倉大仏殿高徳院	248-0016	神奈川県鎌倉市長谷4-2-28		35.316845	139.535728	"https://www.google.com/maps/@35.3166202,139.5355544,3a,25.6y,32.32h,100.84t/data=!3m6!1e1!3m4!1sbaFMH1q-dBH-coSVCvmkqw!2e0!7i13312!8i6656"				4		侵略！イカ娘	シンリャクイカムスメ	第10話Bパート「好かれなイカ？」で、イカ娘断ち中の長月早苗が何もかもがイカ娘に見えてしまう禁断症状で、大仏の顔がイカ娘に見えていた寺。				カマクラシ	シ	14	11	2		
0426	0005	完了	神奈川県	鎌倉市	七里ヶ浜2号踏切	248-0025	神奈川県鎌倉市七里ガ浜東2-3		35.304643	139.513798	"https://www.google.co.jp/maps/@35.304624,139.513752,3a,48.4y,352.81h,92.11t/data=!3m6!1e1!3m4!1sW5xczYqKPWjaB0a8NYXmNw!2e0!7i16384!8i8192"						侵略！イカ娘	シンリャクイカムスメ	第5話Bパート「学校に行かなイカ？」で、イカ娘が栄子の通う学校を訪れたシーンで描かれていた踏切。				カマクラシ	シ	14	11	2		
0426	0006	完了	神奈川県	鎌倉市	七里ガ浜高等学校	248-0025	神奈川県鎌倉市七里ガ浜東2-3-1		35.305429	139.513173	"https://www.google.co.jp/maps/@35.3048429,139.5139404,3a,38.8y,334.22h,97.43t/data=!3m6!1e1!3m4!1sQEVbgVa6hbXrsyZvjG6oTg!2e0!7i13312!8i6656"					0467-32-5457	侵略！イカ娘	シンリャクイカムスメ	第5話Bパート「学校に行かなイカ？」でイカ娘が侵入した相沢栄子の通う学校のモデル。	http://www.shichirigahama-h.pen-kanagawa.ed.jp/			カマクラシ	シ	14	11	2		
