作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0052	0010	完了	東京都	文京区	ホテル椿山荘東京	112-8680	東京都文京区関口2-10-8		35.711654	139.725695	"https://www.google.co.jp/maps/@35.7119993,139.7238067,86a,35y,102.94h,72.21t/data=!3m1!1e3"						アマガミSS+plus	アマガミエスエスプラス	第9話で、中多紗江がお見合いをすると聞いて、橘純一と橘美也が阻止するためにやって来たホテル。<br />ホテルビルの外観や、椿山荘プラザロビー、庭や羅漢石、池などが描かれていました。				ブンキョウク	ア	13	21	2	
0052	0008	完了	東京都	新宿区	京王百貨店 新宿店 前	160-0023	東京都新宿区西新宿1-1		35.690036	139.698850	"https://www.google.co.jp/maps/@35.6901255,139.6986073,3a,39.4y,113.21h,85.78t/data=!3m6!1e1!3m4!1sqgpz__IZIkf7biWKgwvaOw!2e0!7i13312!8i6656"						アマガミSS+plus	アマガミエスエスプラス	第7話で、旅行に行く橘純一と棚町薫がバスターミナルに向かう途中で信号待ちをしていた場所。ここから2人がバスターミナルまで競争を始めます。				シンジュクク	ア	13	11	2	
0052	0006	完了	東京都	新宿区	新宿高速バスターミナル	160-0023	東京都新宿区西新宿1-10		35.689917	139.698133	"https://www.google.co.jp/maps/@35.6898117,139.6980879,3a,50y,16.37h,89.79t/data=!3m6!1e1!3m4!1sUpylN7RSlZJX5Mh8-byXxQ!2e0!7i16384!8i8192"	17.0					アマガミSS+plus	アマガミエスエスプラス	第7話で、バス旅行に行く橘純一と棚町薫が大はしゃぎでやって来たバス乗り場。				シンジュクク	ア	13	11	2	
0052	0011	完了	東京都	国立市	谷保天満宮	186-0011	東京都国立市谷保5209		35.680184	139.443666	"https://www.google.co.jp/maps/@35.6800948,139.4436177,3a,37.3y,342.56h,94.79t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcFBEN1dWNklmRHZwRGxtZjdraHlzQUV3dmhNMGRLd0E0VFZWRm5j!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPD7WV6IfDvpDlmf7khysAEwvhM0dKwA4TVVFnc%3Dw203-h100-k-no-pi-0-ya304.9083-ro-0-fo100!7i8704!8i4352"						アマガミSS+plus	アマガミエスエスプラス	第9話で、橘純一と中多紗江がお参りに行った神社。				クニタチシ	ア	13	29	2	
0052	0007	完了	東京都	杉並区	西武鉄道 下井草駅	167-0022	東京都杉並区下井草2-44-10		35.723944	139.624333	"https://www.google.co.jp/maps/@35.7235977,139.6275657,3a,15y,277.36h,91.6t/data=!3m6!1e1!3m4!1sM-gJhHJkGjVgVskgDv1TsA!2e0!7i13312!8i6656"	15.0			5		アマガミSS+plus	アマガミエスエスプラス	エンディングで森島はるかがホームで電車待ちをしている駅。				スギナミク	ア	13	12	2	
0052	0001	完了	千葉県	銚子市	銚子マリーナ	288-0025	千葉県銚子市潮見町15		35.704226	140.840669	-	15.0		0			アマガミSS+plus	アマガミエスエスプラス	オープニングに描かれている砂浜。	http://www.choshimarina.co.jp/	http://www.choshimarina.co.jp/		チョウシシ	ア	12	25	2	
0052	0003	完了	千葉県	銚子市	田園地帯	288-0805	千葉県銚子市上野町		35.725081	140.801871	"https://www.google.co.jp/maps/@35.725097,140.802057,3a,75y,295.42h,93.17t/data=!3m4!1e1!3m2!1s0qe3X5jBCNDICrvUDpqmyA!2e0"	14.0		0			アマガミSS+plus	アマガミエスエスプラス	次回予告で描かれている風車の見える田園風景。				チョウシシ	ア	12	25	2	
0052	0004	完了	千葉県	銚子市	銚子高等学校	288-0814	千葉県銚子市春日町2689		35.724722	140.815833	-	15.0		0		0479-22-6906	アマガミSS+plus	アマガミエスエスプラス	橘純一たちの通う「輝日東高校」のモデル。	http://www.chiba-c.ed.jp/kencho/	http://www.chiba-c.ed.jp/kencho/		チョウシシ	ア	12	25	2	
0052	0005	完了	千葉県	銚子市	清川町第1公園	288-0817	千葉県銚子市清川町4-6		35.725816	140.819175	-	16.0		0			アマガミSS+plus	アマガミエスエスプラス	エンディングで中多紗江が木に寄り掛かっていた公園。				チョウシシ	ア	12	25	2	
0052	0009	完了	静岡県	浜松市	浜名亭	431-1401	静岡県浜松市北区三ヶ日町佐久米47-1	浜名湖SA 湖の見えるフード館	34.781359	137.607076	"https://www.google.co.jp/maps/@34.781357,137.6072469,2a,53.1y,312.77h,87.93t/data=!3m6!1e1!3m4!1s74C6lztPcTkDuyMZq_OmQw!2e0!7i13312!8i6656"						アマガミSS+plus	アマガミエスエスプラス	第7話で、夏休みに深夜バスで旅行に出かけた橘純一と棚町薫が、うな茶セットを食べていた店。<br />作中では店名が「うな茶亭」になっていました。				ハママツシ	ア	22	21	3	
0052	0002	完了	静岡県	浜松市	浜名湖SA	431-1401	静岡県浜松市北区三ヶ日町佐久米47-1		34.781779	137.607795	"https://www.google.co.jp/maps/@34.7816834,137.6075315,3a,25y,130.15h,88.47t/data=!3m6!1e1!3m4!1s_IzS2493X58O7KqSN62oXg!2e0!7i13312!8i6656"	17.0		0			アマガミSS+plus	アマガミエスエスプラス	第7話で、夏休みに深夜バスで旅行に出かけた橘純一と棚町薫が、うな茶セットを食べている間にバスに置き去りにされてしまったサービスエリア。				ハママツシ	ア	22	21	3	
