作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0842	0001	完了	東京都	千代田区	JR 秋葉原駅 電気街口（北）	101-0021	東京都千代田区外神田1-17-6		35.698601	139.772629	"https://www.google.co.jp/maps/@35.6990971,139.7727319,3a,22.2y,183.86h,97t/data=!3m6!1e1!3m4!1sDHpGhnwfrW_XkfAgokeVbw!2e0!7i13312!8i6656"	17			4.5		ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第2話で、分身した何体ものモノクロームが、ファーストアルバムの宣伝のためにビラ配り（分身キャンペーン）をしていた場所。				チヨダク	ミ	13	17	2		
0842	0002	完了	東京都	千代田区	AKB48 CAFE & SHOP	101-0028	東京都千代田区神田花岡町1-1		35.699039	139.772929	"https://www.google.co.jp/maps/@35.6990971,139.7727319,3a,15y,126.46h,90.15t/data=!3m6!1e1!3m4!1sDHpGhnwfrW_XkfAgokeVbw!2e0!7i13312!8i6656"	18			5		ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第2話で、モノクロームが、子供に大人気のそばっしーの真似をしてみたものの、そばっしーのようなハイテンションは自分には合わないと、少々自己嫌悪に陥っていた場所。作中ではAKB48の文字が「KND15」になっていました。				チヨダク	ミ	13	17	2		
0842	0003	完了	東京都	文京区	第二音羽ビル	112-0013	東京都文京区音羽1-2-2		35.711551	139.731456	"https://www.google.co.jp/maps/@35.7112211,139.7313322,3a,32.3y,31.71h,118.11t/data=!3m6!1e1!3m4!1sC5eWNMAcMiDEiC098tfZvw!2e0!7i13312!8i6656!6m1!1e1"	18					ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第11話から登場した、モノクロームがファーストアルバムを出すことになったレコード会社「ヘイミンレコード」の社屋のモデル。リアルの方のモノクロームのCDを発売元であるキングレコードの入っている第三音羽ビルの隣の建物で、第三音羽ビル側に設置されているKING RECORDSの看板が、「HEIMIN RECORDS」と文字を変えて、第二音羽ビルに設置されていおり、第二音羽ビル6Fに会社を構える講談社ビーシーが出版する「ベストカー」の屋上看板の文字が「ヘイミン」になっています。				ブンキョウク	ミ	13	21	2		
0842	0004	完了	東京都	豊島区	巣鴨地蔵通り商店街	170-0002	東京都豊島区巣鴨3-21		35.734653	139.736813	"https://www.google.co.jp/maps/@35.7346292,139.7369488,3a,28y,313.43h,91.36t/data=!3m6!1e1!3m4!1sVl0uiq85-2uem6qKzOBcsg!2e0!7i13312!8i6656"				4		ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第4話で、モノクロームが、モノキャラグランプリ出場のために段ボールで作ったダンボロイドを着て、おばあちゃんたちにPR活動をしていた場所。				トシマク	ミ	13	18	2		
0842	0005	完了	大阪府	大阪市	京セラドーム大阪	550-0023	大阪府大阪市西区千代崎三丁目中2-1		34.669287	135.476092	"https://www.google.co.jp/maps/@34.6680801,135.4747872,3a,52.7y,48.35h,103.2t/data=!3m6!1e1!3m4!1sqrIu8_GnjCbkPvZTxNU8qw!2e0!7i13312!8i6656"						ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第7話で、KIKUKOがライブ会場の下見に来ていたと言っていたドーム。作中では「超大阪ドーム」と呼称していました。				オオサカシ	ミ	27	1	5		
0842	0006	完了	大阪府	大阪市	通天閣のビリケン	556-0002	大阪府大阪市浪速区恵美須東1-18-6		34.652546	135.506299	"https://www.google.co.jp/maps/@34.6525917,135.5062714,3a,90y,225.18h,77.48t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcFBWVlpsbXRRMXh1dXptTkFaNkYwWGEySDZYMnd3UmNWSVZZNDdt!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPVVZlmtQ1xuuzmNAZ6F0Xa2H6X2wwRcVIVY47m%3Dw203-h100-k-no-pi-1.6343962-ya267.94592-ro-1.8597711-fo100!7i5376!8i2688"				1		ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第7話で、モノクロームとKIKUKOたちがキャンペーンで大阪を巡るシーンで、成功祈願をしていた場所。				オオサカシ	ミ	27	1	5		
0842	0007	完了	大阪府	大阪市	Zepp なんば大阪	556-0012	大阪府大阪市浪速区敷津東2-1-39		34.657443	135.501293	"https://www.google.co.jp/maps/@34.6580329,135.5006647,3a,26.2y,135.44h,95.07t/data=!3m6!1e1!3m4!1sHSYZ4hqtwllMroDg0_MtaQ!2e0!7i13312!8i6656"				4		ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第7話冒頭に登場したモノクロームの大阪ライブの会場。				オオサカシ	ミ	27	1	5		
0842	0008	完了	大阪府	大阪市	ユニバーサル・スタジオ・ジャパン	554-0031	大阪府大阪市此花区桜島2-1-33		34.667954	135.435303	"https://www.google.co.jp/maps/@34.6679701,135.4353635,3a,75y,342.57h,100.19t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE5mbDV0VEoyOExPQ056bmlWQnI1MktmdWl0QXZwcXo1c3dpRDJV!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNfl5tTJ28LOCNzniVBr52KfuitAvpqz5swiD2U%3Dw203-h100-k-no-pi5.017455-ya89.49261-ro-1.9557006-fo100!7i2508!8i1254"				2	0570-200-606	ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第7話で、モノクロームとKIKUKOたちがキャンペーンで大阪を巡るシーンで訪れていた場所の一つ。作中ではUSJならぬ「USAJAMA」という別の施設として描かれていました。				オオサカシ	ミ	27	1	5		
0842	0009	完了	大阪府	大阪市	大阪城	540-0002	大阪府大阪市中央区大阪城1-1		34.687371	135.525844	"https://www.google.co.jp/maps/@34.6866819,135.5228304,2a,22.9y,72.71h,93.63t/data=!3m6!1e1!3m4!1sGI5JQeQxjcJiiWAY2xOyFA!2e0!7i13312!8i6656"				4.5		ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第7話で、モノクロームとKIKUKOたちがキャンペーンで大阪を巡るシーンで描かれていた場所の一つ。西の丸庭園				オオサカシ	ミ	27	1	5		
0842	0010	完了	大阪府	大阪市	道頓堀グリコサイン	542-0071	大阪府大阪市中央区道頓堀1-10-2		34.668921	135.501068	"https://www.google.co.jp/maps/@34.6692787,135.5012991,3a,24y,211.65h,95.65t/data=!3m6!1e1!3m4!1s7ksTbl8b1t4kWBQlQV7tGQ!2e0!7i13312!8i6656"				4.5		ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第7話で、モノクロームとKIKUKOたちがキャンペーンで大阪を巡るシーンで描かれていた場所の一つ。				オオサカシ	ミ	27	1	5		
0842	0011	完了	大阪府	大阪市	通天閣本通商店会	556-0002	大阪府大阪市浪速区恵美須東1-16		34.653542	135.505932	"https://www.google.co.jp/maps/@34.6536592,135.5058094,3a,70y,140.4h,94.4t/data=!3m6!1e1!3m4!1swQ-zc1CeAAV3NkKkzxXHlQ!2e0!7i16384!8i8192"				2		ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第7話で、モノクロームとKIKUKOたちがキャンペーンで大阪を巡るシーンで描かれていた場所の一つ。				オオサカシ	ミ	27	1	5		
0842	0012	完了	大阪府	大阪市	難波センタービル（タワーレコード難波店） 前	542-0075	大阪府大阪市中央区難波千日前12-22		34.664527	135.502515	"https://www.google.co.jp/maps/@34.6647071,135.5020615,3a,62y,117.01h,114.61t/data=!3m6!1e1!3m4!1sRpbFdH2lfi-27fzH4jGakQ!2e0!7i13312!8i6656"						ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第7話で、ファンに気づかれずに大阪観光がしてみたいと言うKIKUKOの願いを叶えるべく、モノクロームの着ぐるみを着せてビラ配りをさせていた場所	http://tower.jp/store/kinki/Namba			オオサカシ	ミ	27	1	5		
0842	0013	完了	大阪府	大阪市	海遊館 前	552-0022	大阪府大阪市港区海岸通1-1-10		34.654851	135.429379	"https://www.google.co.jp/maps/@34.6549436,135.4294383,3a,70y,231.86h,107.87t/data=!3m6!1e1!3m4!1sfw0qNZw6DJR8fHCPpT_NzA!2e0!7i13312!8i6656"				2		ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第7話で、一緒にキャンペーンを兼ねて大阪観光をしたモノクロームとKIKUKOが別れてい場所。				オオサカシ	ミ	27	1	5		
0842	0014	完了	大阪府	大阪市	ハグミュージアム	550-0023	大阪府大阪市西区千代崎3丁目南2番59号		34.669269	135.479120	"https://www.google.co.jp/maps/@34.6692499,135.4792731,3a,27.4y,271.09h,92.17t/data=!3m6!1e1!3m4!1sp2LGJYTzwKZI_4enErushg!2e0!7i13312!8i6656"				4	06-6586-3789	ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第7話で、この建物の前でマネオがタクシーを拾おうとしていたところへ、KIKUKOのリムジンが通りかかっていました。	https://www.osakagas.co.jp/company/efforts/hugmuseum/			オオサカシ	ミ	27	1	5		
0842	0015	完了	大阪府	大阪市	スーパービバホーム大阪ドームシティ店	550-0023	大阪府大阪市西区千代崎3丁目南2番66号		34.668596	135.478688	"https://www.google.co.jp/maps/@34.6696459,135.479066,3a,37y,172.01h,101.82t/data=!3m6!1e1!3m4!1srXcKxtvxLWv9EMHbQu2N7g!2e0!7i13312!8i6656"					06-6585-1711	ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第7話で、大阪ライブの後、CDとライブツアーのキャンペーンと観光のために大阪に残ったモノクロームとマネオが街を歩いていたシーンで背後に描かれていた建物。作中では店名が「SUPER BABI HOME」になっていました。	http://www.vivahome.co.jp/osaka_dome_svh/			オオサカシ	ミ	27	1	5		
0842	0016	完了	岡山県	岡山市	JR 岡山駅	700-0024	岡山県岡山市北区駅元町1-1		34.665390	133.917777	"https://www.google.co.jp/maps/@34.6655451,133.9191586,3a,31.9y,238.45h,101.22t/data=!3m6!1e1!3m4!1s3ihAFsMAeCYcfTJmGlesaw!2e0!7i13312!8i6656!6m1!1e1"						ミス・モノクローム -The Animation- 3	ミスモノクロームジアニメーションスリー	第6話冒頭の岡山駅のカットで、駅前の桃太郎の銅像が描かれていました。				オカヤマシ	ミ	33	1	6		
