No.	確定	都道府県	市区郡	場所・スポット	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	年	月	日	ジャンル	ジャンルフリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	項目順	県順	市順	域順
349	完了	東京都	東久留米市	ブラック・ジャックマンホール④ ピノコ	203-0054	東京都東久留米市中央町2-1		35.755584	139.523173		2021	3	10	マンホール	マンホール	手塚治虫が晩年に暮らしていた縁で、市制施行50周年記念事業として2021年3月10日に市内5カ所に設置				ヒガシクルメシ	マ	9	13	40	2
350	完了	東京都	東久留米市	ブラック・ジャックマンホール⑤ ブラック・ジャック＆ピノコ	203-0033	東京都東久留米市滝山4-1		35.745181	139.505605		2021	3	10	マンホール	マンホール	手塚治虫が晩年に暮らしていた縁で、市制施行50周年記念事業として2021年3月10日に市内5カ所に設置				ヒガシクルメシ	マ	9	13	40	2
356		神奈川県	川崎市	藤子・F・不二雄作品の銅像 ドラえもん（登戸駅）	214-0014	神奈川県川崎市多摩区登戸3435		35.620579	139.569878					モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
357		神奈川県	川崎市	藤子・F・不二雄作品の銅像 ドラミちゃん	214-0014	神奈川県川崎市多摩区登戸		35.620509	139.570252	"https://www.google.co.jp/maps/@35.6203906,139.5701761,3a,15y,25.31h,87.12t/data=!3m6!1e1!3m4!1sYLGa2L92PHY5YarplQfvtA!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
358		神奈川県	川崎市	藤子・F・不二雄作品の銅像 ドラえもん（向ヶ丘遊園駅）	214-0014	神奈川県川崎市多摩区登戸		35.616771	139.564434					モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
359		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント 21エモン	214-0014	神奈川県川崎市多摩区登戸		35.615606	139.565590	"https://www.google.co.jp/maps/@35.6156937,139.5657046,3a,15y,225.87h,96.03t/data=!3m6!1e1!3m4!1sVSJIaKMWCSvAkhP1VbnsNQ!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
360		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント ドラミちゃん	214-0014	神奈川県川崎市多摩区登戸		35.614630	139.566182	"https://www.google.co.jp/maps/@35.6145981,139.5660833,3a,15y,67.89h,90.19t/data=!3m6!1e1!3m4!1s0UgqS6a3PR_oTnaRgqdJxA!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
361		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント ジャイアン	214-0014	神奈川県川崎市多摩区登戸		35.614576	139.566187	"https://www.google.co.jp/maps/@35.6144794,139.5661497,3a,15y,30.04h,100.83t/data=!3m6!1e1!3m4!1sLNJglakOVAXx9SM4o2eE9w!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
362		神奈川県	川崎市	藤子・F・不二雄作品の銅像 Q太郎＆O次郎	214-0014	神奈川県川崎市多摩区登戸		35.614525	139.566384					モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
363		神奈川県	川崎市	藤子・F・不二雄作品の銅像 コロ助	214-0014	神奈川県川崎市多摩区登戸		35.614038	139.567259	"https://www.google.co.jp/maps/@35.6156937,139.5657046,3a,15y,225.87h,96.03t/data=!3m6!1e1!3m4!1sVSJIaKMWCSvAkhP1VbnsNQ!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
